Date,Close/Last,Volume,Open,High,Low
12/01/2023,$48.47,18744690,$48.28,$48.78,$48.02
11/30/2023,$48.38,37165010,$48.19,$48.50,$47.9401
11/29/2023,$48.05,16700490,$48.11,$48.44,$48.03
11/28/2023,$47.85,16360860,$47.95,$48.19,$47.81
11/27/2023,$47.93,17651620,$48.33,$48.37,$47.91
11/24/2023,$48.36,8209530,$48.09,$48.40,$48.05
11/22/2023,$48.08,17311340,$48.08,$48.35,$47.945
11/21/2023,$47.80,21510480,$48.27,$48.35,$47.66
11/20/2023,$48.27,27425670,$47.56,$48.37,$47.55
11/17/2023,$47.755,32337440,$48.05,$48.36,$47.73
11/16/2023,$48.04,79057820,$47.41,$48.06,$46.20
11/15/2023,$53.28,32188150,$53.27,$53.43,$53.035
11/14/2023,$53.17,18330970,$52.47,$53.37,$52.47
11/13/2023,$52.23,14931550,$52.48,$52.6401,$52.09
11/10/2023,$52.59,17373580,$52.25,$52.63,$51.93
11/09/2023,$52.00,21039430,$52.12,$52.57,$51.75
11/08/2023,$53.00,13633770,$53.39,$53.50,$52.77
11/07/2023,$53.13,15153110,$53.34,$53.44,$52.97
11/06/2023,$53.29,15429620,$52.97,$53.30,$52.875
11/03/2023,$53.01,17645130,$53.26,$53.45,$52.63
11/02/2023,$52.75,17459680,$52.32,$52.80,$52.18
11/01/2023,$52.19,14300650,$52.04,$52.28,$51.80
10/31/2023,$52.13,13509300,$51.75,$52.17,$51.68
10/30/2023,$51.57,13322430,$51.35,$51.64,$51.09
10/27/2023,$51.56,13333930,$51.64,$52.15,$51.40
10/26/2023,$51.37,17594540,$51.8735,$52.13,$51.3113
10/25/2023,$52.40,14384690,$53.11,$53.37,$52.325
10/24/2023,$53.01,14824180,$52.26,$53.05,$52.055
10/23/2023,$52.20,17760040,$52.82,$52.85,$52.16
10/20/2023,$52.93,23888740,$53.39,$53.59,$52.80
10/19/2023,$53.32,16325600,$53.76,$53.93,$53.20
10/18/2023,$53.77,13087340,$53.79,$54.185,$53.60
10/17/2023,$53.94,17105930,$53.79,$53.98,$53.17
10/16/2023,$54.16,11736610,$54.07,$54.585,$54.0404
10/13/2023,$53.77,14413850,$53.88,$54.12,$53.44
10/12/2023,$53.85,11846120,$54.02,$54.22,$53.51
10/11/2023,$53.66,12658050,$53.93,$54.125,$53.345
10/10/2023,$53.87,13105620,$53.96,$54.09,$53.65
10/09/2023,$53.92,10163600,$53.35,$53.96,$53.25
10/06/2023,$53.45,15665550,$52.99,$53.745,$52.7371
10/05/2023,$53.07,14929530,$53.40,$53.47,$52.58
10/04/2023,$53.45,17008960,$53.66,$53.845,$53.22
10/03/2023,$53.65,15700580,$53.86,$53.89,$53.35
10/02/2023,$54.39,13934000,$53.84,$54.40,$53.81
09/29/2023,$53.76,13951240,$54.16,$54.20,$53.50
09/28/2023,$53.88,17204420,$53.37,$54.19,$53.35
09/27/2023,$53.20,15845520,$52.89,$53.37,$52.53
09/26/2023,$52.71,15618420,$53.18,$53.295,$52.58
09/25/2023,$53.48,14224390,$53.46,$53.68,$53.16
09/22/2023,$53.57,17870180,$53.40,$53.825,$53.20
09/21/2023,$53.34,37440280,$53.41,$54.10,$52.85
09/20/2023,$55.50,12221680,$55.95,$56.05,$55.435
09/19/2023,$55.84,10748900,$56.18,$56.21,$55.46
09/18/2023,$56.11,11824980,$56.01,$56.275,$55.83
09/15/2023,$56.04,44029150,$56.31,$56.39,$55.54
09/14/2023,$56.37,15760270,$56.42,$56.47,$56.08
09/13/2023,$56.28,13092200,$56.32,$56.529,$56.08
09/12/2023,$56.39,13916090,$56.65,$56.86,$56.34
09/11/2023,$56.84,15842490,$56.72,$56.965,$56.44
09/08/2023,$56.67,13993110,$56.76,$57.07,$56.56
09/07/2023,$56.79,14762100,$56.97,$57.09,$56.66
09/06/2023,$57.16,11380420,$57.10,$57.47,$57.07
09/05/2023,$57.26,13884960,$57.82,$57.82,$57.23
09/01/2023,$57.84,14080410,$57.39,$58.185,$57.39
08/31/2023,$57.35,22619680,$57.10,$57.5286,$56.89
08/30/2023,$56.81,12145390,$56.63,$56.91,$56.535
08/29/2023,$56.56,17859120,$56.35,$56.80,$56.11
08/28/2023,$56.20,15189850,$55.89,$56.28,$55.68
08/25/2023,$55.70,15731770,$55.25,$55.87,$55.25
08/24/2023,$55.24,17586350,$56.32,$56.475,$55.21
08/23/2023,$55.98,18250000,$55.61,$56.20,$55.40
08/22/2023,$55.46,15665990,$55.48,$55.82,$55.28
08/21/2023,$55.44,18283190,$55.20,$55.79,$55.15
08/18/2023,$55.04,28839760,$54.63,$55.46,$54.62
08/17/2023,$54.73,45278040,$54.44,$55.835,$54.37
08/16/2023,$52.96,26470180,$53.19,$53.52,$52.87
08/15/2023,$53.35,20173360,$53.62,$53.7289,$53.18
08/14/2023,$53.88,20707310,$53.80,$54.13,$53.72
08/11/2023,$53.79,14344470,$53.35,$53.945,$53.185
08/10/2023,$53.37,16329460,$53.41,$54.14,$53.17
08/09/2023,$52.99,18765520,$52.90,$53.45,$52.66
08/08/2023,$53.06,12224770,$52.66,$53.13,$52.355
08/07/2023,$53.01,11327900,$52.97,$53.065,$52.682
08/04/2023,$52.63,12266940,$52.88,$53.32,$52.54
08/03/2023,$53.15,15193560,$52.49,$53.27,$52.24
08/02/2023,$52.58,17694350,$52.38,$53.11,$52.32
08/01/2023,$52.66,15287770,$52.57,$52.78,$52.305
07/31/2023,$52.04,14195970,$51.84,$52.18,$51.74
07/28/2023,$52.09,27493040,$52.062,$52.42,$51.77
07/27/2023,$53.00,15795510,$53.60,$53.885,$52.855
07/26/2023,$53.22,13563650,$53.54,$53.65,$52.96
07/25/2023,$53.60,16136560,$53.19,$53.76,$53.11
07/24/2023,$53.11,18394420,$52.69,$53.31,$52.67
07/21/2023,$52.63,51284800,$52.745,$52.995,$52.525
07/20/2023,$52.37,22784430,$52.06,$52.87,$51.915
07/19/2023,$52.43,21744960,$52.21,$52.44,$51.70
07/18/2023,$51.24,16434160,$50.98,$51.37,$50.8525
07/17/2023,$50.81,16141050,$50.20,$50.95,$50.14
07/14/2023,$50.38,19566590,$50.42,$50.97,$50.055
07/13/2023,$51.53,17864780,$50.69,$51.62,$50.65
07/12/2023,$50.74,26332530,$51.56,$51.93,$50.5319
07/11/2023,$52.12,15002730,$51.57,$52.1475,$51.54
07/10/2023,$51.40,19046470,$51.07,$51.50,$51.02
07/07/2023,$50.99,15580380,$51.00,$51.65,$50.74
07/06/2023,$51.11,13933190,$51.065,$51.19,$50.65
07/05/2023,$51.51,14952220,$50.97,$51.57,$50.925
07/03/2023,$51.82,7336040,$51.36,$51.83,$51.33
06/30/2023,$51.74,18188310,$51.88,$52.26,$51.52
06/29/2023,$51.21,14246000,$50.86,$51.27,$50.82
06/28/2023,$50.87,11387580,$50.78,$51.015,$50.44
06/27/2023,$50.86,12980980,$50.31,$51.04,$50.25
06/26/2023,$50.21,13032100,$50.305,$50.80,$50.18
06/23/2023,$50.33,16544580,$50.64,$50.72,$50.09
06/22/2023,$51.12,14996300,$50.65,$51.14,$50.4291
06/21/2023,$50.85,16939640,$51.38,$51.40,$50.82
06/20/2023,$51.55,20140400,$51.94,$52.08,$51.47
06/16/2023,$52.07,37134420,$52.20,$52.405,$51.93
06/15/2023,$51.93,22496850,$50.905,$52.07,$50.83
06/14/2023,$50.96,16630750,$50.80,$51.22,$50.63
06/13/2023,$50.80,24035530,$50.685,$50.94,$50.45
06/12/2023,$50.48,15497670,$49.915,$50.51,$49.67
06/09/2023,$49.66,12173940,$49.532,$49.97,$49.365
06/08/2023,$49.68,13289080,$49.92,$50.00,$49.57
06/07/2023,$49.78,15950610,$49.70,$50.14,$49.65
06/06/2023,$49.81,16029600,$49.79,$49.91,$49.14
06/05/2023,$50.21,13964140,$50.22,$50.58,$50.04
06/02/2023,$50.02,19155370,$49.87,$50.25,$49.73
06/01/2023,$49.74,17816970,$49.76,$50.085,$49.2609
05/31/2023,$49.67,51990280,$49.91,$50.025,$49.605
05/30/2023,$50.17,19074760,$49.99,$50.485,$49.74
05/26/2023,$49.86,19825590,$49.11,$50.09,$49.11
05/25/2023,$49.03,21716990,$47.77,$49.23,$47.72
05/24/2023,$48.41,15452950,$48.95,$49.00,$48.174
05/23/2023,$48.91,17645880,$48.61,$49.35,$48.60
05/22/2023,$48.82,18667480,$49.11,$49.229,$48.77
05/19/2023,$49.13,28564110,$48.43,$49.34,$48.40
05/18/2023,$48.20,41475720,$45.76,$48.245,$45.70
05/17/2023,$47.63,29325950,$47.15,$47.76,$47.0125
05/16/2023,$46.92,16500040,$47.24,$47.33,$46.80
05/15/2023,$47.10,13204410,$46.80,$47.26,$46.56
05/12/2023,$46.71,14097460,$46.28,$46.81,$46.28
05/11/2023,$46.37,12522130,$46.83,$46.85,$46.20
05/10/2023,$46.71,15625290,$46.70,$46.93,$46.15
05/09/2023,$46.47,15221930,$45.98,$46.515,$45.92
05/08/2023,$46.34,12000030,$46.44,$46.52,$46.09
05/05/2023,$46.25,14317400,$46.12,$46.36,$45.92
